MAG	abundance	domain	phylum	class	order	family	genus	species	completeness	contamination	community	MIMAG
MAG24001	1.0322782	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	Bosea robiniae	99.97	2.23	S2C40	High quality
MAG24002	0.45295423	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	NA	64.42	4.04	S2C40	Medium quality
MAG24003	0.3338185	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA	84.63	0.49	S2C40	Medium quality
MAG24004	0.9439348	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	NA	100	0.73	S2C40	High quality
MAG24005	15.788385	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	100	0.52	S2C40	High quality
MAG24006	3.0637345	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Kaistella	Kaistella soli	99.28	0	S2C40	High quality
MAG24007	0.2733376	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	NA	31.28	0.09	S2C40	Low quality
MAG24008	0.27041262	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas moorei	69	2.08	S2C40	Medium quality
MAG24009	0.21343611	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA	50.32	1.3	S2C40	Medium quality
MAG24010	3.062882	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Gordonia	NA	100	0.1	S2C40	High quality
MAG24011	4.965495	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	99.85	0.01	S2C40	High quality
MAG24012	0.7870456	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	99.99	0.02	S2C40	High quality
MAG24013	2.1498477	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas veronii	99.92	0.28	S2C40	High quality
