MAG	abundance	domain	phylum	class	order	family	genus	species	completeness	contamination	community	MIMAG
MAG13001	0.56422794	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudaminobacter	NA	93.62	0.15	S1C30	High quality
MAG13002	4.893266	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Rhodococcus	Rhodococcus qingshengii	76.49	0.31	S1C30	Medium quality
MAG13003	62.80575	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter guillouiae	100	0.67	S1C30	High quality
MAG13004	1.3785372	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphocola	NA	100	0.49	S1C30	High quality
MAG13005	0.2006569	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	40.49	1.7	S1C30	Low quality
MAG13006	0.25875515	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	70.23	1.36	S1C30	Medium quality
MAG13007	1.2595553	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas aquatica	99.84	0.17	S1C30	High quality
MAG13008	0.25761983	Unclassified Bacteria	NA	NA	NA	NA	NA	NA	14.24	2.47	S1C30	Low quality
MAG13009	0.22960055	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	14.2	0.07	S1C30	Low quality
MAG13010	0.19895783	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax sp002754375	27.99	0.49	S1C30	Low quality
MAG13011	1.2154135	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer sp002002725	72.68	0.28	S1C30	Medium quality
MAG13012	0.6119347	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter kerstersii	95.72	1.4	S1C30	High quality
MAG13013	0.273303	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herminiimonas	Herminiimonas sp000013625	66.2	1.67	S1C30	Medium quality
MAG13014	0.6313561	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	NA	90.57	1.6	S1C30	High quality
MAG13015	0.60698926	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	NA	90.88	3.68	S1C30	High quality
MAG13016	0.32770497	Unclassified Bacteria	NA	NA	NA	NA	NA	NA	9.8	0.37	S1C30	Low quality
